Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
LSO,Lesotho,24720,Country rank and value in the ITU ICT Development Index,Rank,,,138
LTU,Lithuania,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,74.2
LTU,Lithuania,24719,Country rank and value in the ITU ICT Development Index,Value,,,7
LTU,Lithuania,24720,Country rank and value in the ITU ICT Development Index,Rank,,,34
LUX,Luxembourg,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,83.3
LUX,Luxembourg,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.3
LUX,Luxembourg,24720,Country rank and value in the ITU ICT Development Index,Rank,,,10
LVA,Latvia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,67
LVA,Latvia,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.9
LVA,Latvia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,37
MAC,"Macao SAR, China",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,324.4
MAC,"Macao SAR, China",24719,Country rank and value in the ITU ICT Development Index,Value,,,7.5
MAC,"Macao SAR, China",24720,Country rank and value in the ITU ICT Development Index,Rank,,,26
MAR,Morocco,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39.3
MAR,Morocco,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.3
MAR,Morocco,24720,Country rank and value in the ITU ICT Development Index,Rank,,,98
MCO,Monaco,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,65.2
MCO,Monaco,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.9
MCO,Monaco,24720,Country rank and value in the ITU ICT Development Index,Rank,,,20
MDA,Moldova,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,51.9
MDA,Moldova,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.6
MDA,Moldova,24720,Country rank and value in the ITU ICT Development Index,Rank,,,67
MDG,Madagascar,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,9
MDG,Madagascar,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.6
MDG,Madagascar,24720,Country rank and value in the ITU ICT Development Index,Rank,,,165
MDV,Maldives,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,63.6
MDV,Maldives,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.7
MDV,Maldives,24720,Country rank and value in the ITU ICT Development Index,Rank,,,88
MEX,Mexico,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,50.4
MEX,Mexico,24704,"Mobile-cellular monthly subscription charge, in USD",USD,0,,
MEX,Mexico,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.5
MEX,Mexico,24720,Country rank and value in the ITU ICT Development Index,Rank,,,96
MKD,"Macedonia, FYR",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,56.2
MKD,"Macedonia, FYR",24719,Country rank and value in the ITU ICT Development Index,Value,,,5.8
